doc_id,predicted_scores,human_scores,system_id,score_variance
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,1.0772894336840662,2.6666666666666665,M20,4.930380657631324e-32
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,4.347624604246276,5.0,M12,0.0
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,4.8236666873699985,5.0,M2,3.2050088792303405e-05
dm-test-14c813567696f4e63a39993c09d4edb454036179,4.1176458391965625,5.0,M9,0.0011175494656723648
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,1.3528497644351711,1.3333333333333333,M11,0.00022020315156103242
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,4.225220528377983,5.0,M12,0.002189598813028122
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,4.711784831507192,5.0,M2,0.00012470785040793572
dm-test-051db270afc32571a08c15124330efe89d80fea8,4.343532726689894,5.0,M10,0.0007032708092080453
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,1.4753371414238976,4.333333333333333,M20,0.0005124111585158476
dm-test-3785743303ddb8b594be7c449a37458b99e83812,4.9456086440573275,5.0,M0,1.4442095294185103e-05
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,4.480060454352449,5.0,M13,0.00018200303551512272
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,4.3315938936704725,5.0,M13,0.0035891216557301835
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,4.950896995409012,5.0,M13,1.2487532102210391e-05
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,4.296256320895912,5.0,M8,0.0029144238232040208
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,3.8937535714353557,5.0,M14,0.0011750634175051915
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,4.899235253906686,5.0,M22,5.493835289388798e-09
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,4.9136582846318095,5.0,M5,1.35110037139809e-05
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,4.982223599874559,5.0,M13,3.0680447328078443e-07
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,4.9803342875747365,5.0,M23,9.013753398831484e-06
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,4.784284886189606,5.0,M10,1.4278815328290126e-06
dm-test-051db270afc32571a08c15124330efe89d80fea8,4.304688582738889,5.0,M17,0.000855736075267915
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,4.8525773999304205,5.0,M20,0.00043647097186237384
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,4.934169127543349,5.0,M15,7.514159846099009e-05
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,4.506191756053888,5.0,M2,0.001166997584381979
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,2.0533341347062484,5.0,M15,0.0010807833790746576
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,3.5297737973821937,5.0,M9,0.0014793795798017982
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,4.979655295588836,5.0,M5,2.569334805022295e-06
dm-test-14c813567696f4e63a39993c09d4edb454036179,4.703551654813093,5.0,M1,0.00015935041861917537
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,3.4494518290359544,5.0,M10,0.0007792589869473649
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,4.8659330651208705,5.0,M23,5.14503089706854e-05
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,4.682714856936039,5.0,M8,2.6394253599745175e-05
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,4.696334777913862,5.0,M15,0.000438693782740326
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,4.818879946732396,5.0,M14,0.00011963416038883452
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,4.977929887210668,5.0,M0,1.528308108919702e-05
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,4.991111044695923,5.0,M23,9.730659421302017e-08
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,4.428049571660915,5.0,M15,0.000595752578686761
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,4.8157196176204184,5.0,M15,0.00012883958492063187
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,3.181382788550271,2.0,M20,1.5917739357697414e-05
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,4.055994947643431,5.0,M8,0.0003461349816397527
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,4.910363406129406,5.0,M22,5.338401461349139e-08
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,4.995472332526903,5.0,M12,3.089668716684555e-07
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,4.7051703839049095,5.0,M17,0.00012207999545180002
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,3.997249585397004,5.0,M9,0.0012606857250896746
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,3.480873765177384,5.0,M10,3.6060784234118384e-05
